company_name,company_email,contact_person,phone_number,additional_details
Al Salam Bank Sudan,hr@alsalam.sd,Contact Person,+24912345678,Banking institution in Sudan
Sudatel Telecommunications Group Company Limited,hr@sudatel.sd,Contact Person,+24998765432,Telecommunications provider
Easy Lease Motorcycle Rental PJSC,hr@easylease.ae,Contact Person,+97112345678,Motorcycle rental services
United Foods Co. PSC,hr@unitedfoods.ae,Contact Person,+97123456789,Food distribution company
United Arab Bank,hr@uab.ae,Contact Person,+97123456790,UAE-based banking
Invictus Investment Company PLC,hr@invictus.ae,Contact Person,+97123456791,Investment company
Abu Dhabi National Takaful Co.,hr@adtak.ae,Contact Person,+97123456792,Islamic insurance services
Dubai Islamic Insurance & Reinsurance Co.,hr@diic.ae,Contact Person,+97123456793,Islamic insurance and reinsurance
National Bank of Fujairah,hr@nbf.ae,Contact Person,+97123456794,Banking services
Abu Dhabi Ship Building Co.,hr@adship.ae,Contact Person,+97123456795,Ship building and repair
Waha Capital Company,hr@wahacapital.ae,Contact Person,+97123456796,Investment management
HILY HOLDING PJSC,hr@hily.ae,Contact Person,+97123456797,Holding company
Dubai Taxi Co. PJSC,hr@dubaitaxi.ae,Contact Person,+97123456798,Taxi transportation services
Dubai Financial Market (DFM) - PJSC,hr@dfm.ae,Contact Person,+97123456799,Financial market services
TECOM Group PJSC,hr@tecom.ae,Contact Person,+97123456800,Telecommunications and technology
Agility Global PLC,hr@agility.ae,Contact Person,+97123456801,Logistics and supply chain
Abu Dhabi Islamic Bank,hr@adib.ae,Contact Person,+97123456802,Islamic banking
Al Firdous Holdings PJSC,hr@alfirdous.ae,Contact Person,+97123456803,Holding and investments
First Abu Dhabi Bank,hr@fab.ae,Contact Person,+97123456804,Banking services
Dubai Electricity & Water Authority PJSC,hr@dewa.ae,Contact Person,+97123456805,Utilities provider
Emaar Development PJSC,hr@emaar.ae,Contact Person,+97123456806,Real estate development
Manazel PJSC,hr@manazel.ae,Contact Person,+97123456807,Real estate
Deyaar Development (P.J.S.C),hr@deyaar.ae,Contact Person,+97123456808,Property development
Abu Dhabi Commercial Bank,hr@adcb.ae,Contact Person,+97123456809,Commercial banking
A D N H Catering plc,hr@adnh.ae,Contact Person,+97123456810,Catering services
ADNOC Logistics & Services plc,hr@adnoclogistics.ae,Contact Person,+97123456811,Logistics services
